,term,neutral_alternative
0,ackman,
1,acreman,
2,adman,
3,Ahriman,
4,aircraftman,
5,aircraftsman,
6,aircraftswoman,
7,aircraftwoman,
8,aircrewman,
9,airman,
10,airmanship,
11,airwayman,
12,airwoman,
13,alderman,
14,aldermanate,
15,aldermaness,
16,aldermanity,
17,aldermanlike,
18,aldermanly,
19,aldermanry,
20,aldermanship,
21,alderwoman,
22,almsman,
23,almswoman,
24,alongshoreman,
25,amman,
26,amtman,
27,applewoman,
28,aquaemanale,
29,archvestryman,
30,artilleryman,
31,ashman,
32,assemblyman,
33,assman,
34,assmanship,
35,ataman,
36,atman,
37,axman,
38,axmanship,
39,backswordman,
40,backswordsman,
41,backwoodsman,
42,badgeman,
43,baggageman,
44,bagman,
45,bailsman,
46,balanceman,
47,bandman,
48,bandsman,
49,bandyman,
50,bankman,
51,banksman,
52,bannerman,
53,bargeman,
54,barman,
55,barnman,
56,barrowman,
57,baseman,
58,basketwoman,
59,bateman,
60,bathman,
61,batman,
62,batsman,
63,batsmanship,
64,batterman,
65,batteryman,
66,bayman,
67,beachman,
68,beadman,
69,beadsman,
70,beadswoman,
71,beakerman,
72,beamman,
73,beamsman,
74,beastman,
75,beaterman,
76,bedesman,
77,bedewoman,
78,bedman,
79,beeman,
80,beggarman,
81,beggarwoman,
82,bellman,
83,bellmanship,
84,bellowsman,
85,bellyman,
86,beltman,
87,beman,
88,bemangle,
89,benchman,
90,bibliomanist,
91,billman,
92,binman,
93,birchman,
94,birdman,
95,birdwoman,
96,birlieman,
97,bleacherman,
98,bleachman,
99,blockman,
100,blubberman,
101,boardman,
102,boatman,
103,boatmanship,
104,boatsman,
105,boatwoman,
106,bogeyman,
107,bogieman,
108,bogman,
109,boilerman,
110,boloman,
111,bonderman,
112,bondman,
113,bondmanship,
114,bondsman,
115,bondswoman,
116,bondwoman,
117,bonnetman,
118,Bookman,
119,bookman,
120,bosjesman,
121,bottleman,
122,bowerwoman,
123,bowman,
124,bowwoman,
125,boxman,
126,braeman,
127,brakeman,
128,brakesman,
129,branchman,
130,brandyman,
131,breadman,
132,breakerman,
133,bridesman,
134,bridgeman,
135,bridleman,
136,brineman,
137,browman,
138,brushman,
139,bucketman,
140,buddleman,
141,buggyman,
142,bullockman,
143,bumboatman,
144,bumboatwoman,
145,bunkerman,
146,burthenman,
147,bushelman,
148,bushelwoman,
149,Bushman,
150,bushmanship,
151,bushwoman,
152,businessman,
153,businesswoman,
154,busman,
155,butterman,
156,butterwoman,
157,buttwoman,
158,buttyman,
159,byeman,
160,byeworkman,
161,bylawman,
162,byreman,
163,byrewoman,
164,byrlawman,
165,cableman,
166,cabman,
167,cageman,
168,callowman,
169,camelman,
170,cameraman,
171,canalman,
172,canman,
173,canoeman,
174,canvasman,
175,capman,
176,carman,
177,cartman,
178,cattimandoo,
179,cattleman,
180,cattyman,
181,causewayman,
182,cavalryman,
183,cellarman,
184,cellarwoman,
185,chaffman,
186,chainman,
187,chairman,
188,chairmanship,
189,chairwoman,
190,chamberwoman,
191,chanteyman,
192,chapelman,
193,chapman,
194,chapmanship,
195,chapwoman,
196,chargeman,
197,chariotman,
198,charwoman,
199,checkman,
200,chessman,
201,chimneyman,
202,Chinaman,
203,chinawoman,
204,chockman,
205,choirman,
206,chokerman,
207,churchman,
208,churchmanly,
209,churchmanship,
210,churchwoman,
211,cinderman,
212,circuitman,
213,clansman,
214,clansmanship,
215,clanswoman,
216,classman,
217,classmanship,
218,clayman,
219,clergyman,
220,clergywoman,
221,cliffsman,
222,clipperman,
223,clothesman,
224,clubman,
225,clubwoman,
226,clutchman,
227,coachman,
228,coachmanship,
229,coachwoman,
230,coastguardman,
231,coastman,
232,cobleman,
233,cochairman,
234,codman,
235,cogman,
236,cokeman,
237,collarman,
238,colorman,
239,commandoman,
240,commandress,
241,committeeman,
242,committeewoman,
243,congressman,
244,congresswoman,
245,coolerman,
246,copeman,
247,copesman,
248,coppersidesman,
249,copyman,
250,Cornishman,
251,corpsman,
252,cotman,
253,councilman,
254,councilwoman,
255,counterman,
256,countryman,
257,countrywoman,
258,courtman,
259,cowman,
260,crabman,
261,crackmans,
262,cracksman,
263,cradleman,
264,craftsman,
265,craftsmanship,
266,craftswoman,
267,cragsman,
268,craneman,
269,cranesman,
270,crankman,
271,crateman,
272,creameryman,
273,creedsman,
274,crewman,
275,cropman,
276,crossbowman,
277,cueman,
278,cuemanship,
279,cupman,
280,cupolaman,
281,cutterman,
282,dairyman,
283,dairywoman,
284,daleman,
285,dalesman,
286,daleswoman,
287,daman,
288,dargsman,
289,darkmans,
290,dartman,
291,dartsman,
292,dayman,
293,daysman,
294,deadman,
295,deathsman,
296,decoyman,
297,decuman,
298,deepwaterman,
299,deliveryman,
300,demesman,
301,demigentleman,
302,demiman,
303,derrickman,
304,desman,
305,devilman,
306,deywoman,
307,diceman,
308,dillyman,
309,dirgeman,
310,disman,
311,dockman,
312,dockyardman,
313,dodman,
314,dogman,
315,dolesman,
316,dollyman,
317,dolman,
318,donkeyman,
319,doomsman,
320,doorman,
321,dossman,
322,doughman,
323,downsman,
324,draegerman,
325,draffman,
326,draftman,
327,draftmanship,
328,draftsman,
329,draftsmanship,
330,draftswoman,
331,draftswomanship,
332,draftwoman,
333,dragman,
334,dragoman,
335,dragsman,
